buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,57.58368372544742,7.561755244643228,5000,5000.0,132.2444305419922
6000.0,6.0,1000.0,50.21159549985456,60.093591061805014,6000,6000.0,148.88514137268066
7000.0,7.0,1000.0,92.22683329358486,60.32533161569618,7000,7000.0,165.46192693710327
8000.0,8.0,1000.0,141.59323641011656,59.452200578376676,8000,8000.0,182.28216290473938
9000.0,9.0,1000.0,164.81269229341538,55.989600732174495,9000,9000.0,200.14262413978577
10000.0,10.0,1000.0,128.60988957359453,37.072427413930406,10000,10000.0,227.11685061454773
11000.0,11.0,1000.0,156.5172099038296,8.887306325643952,11000,11000.0,339.6368844509125
12000.0,12.0,1000.0,176.66324181475989,37.27933912877495,12000,12000.0,366.4613962173462
13000.0,13.0,1000.0,206.97652096528324,36.74839235683933,13000,13000.0,393.6734719276428
14000.0,14.0,1000.0,174.67258733158633,36.929165696253094,14000,14000.0,420.7523410320282
15000.0,15.0,1000.0,216.8151341635216,53.86961005801416,15000,15000.0,439.3156855106354
16000.0,16.0,1000.0,236.92686214355368,58.83412238377912,16000,16000.0,456.3126254081726
17000.0,17.0,1000.0,227.82591247915752,58.8490512681339,17000,17000.0,473.3052544593811
18000.0,18.0,1000.0,275.9512147315686,60.62917127809114,18000,18000.0,489.7989664077759
19000.0,19.0,1000.0,258.37469927692706,59.37547361390331,19000,19000.0,506.64093804359436
20000.0,20.0,1000.0,239.18050697817858,39.675654881328725,20000,20000.0,531.8453123569489
21000.0,21.0,1000.0,298.9336628014244,8.98433749768821,21000,21000.0,643.1501262187958
22000.0,22.0,1000.0,268.5422613917064,37.03955319442329,22000,22000.0,670.1482932567596
23000.0,23.0,1000.0,289.9745747978865,37.10416719394436,23000,23000.0,697.0994453430176
24000.0,24.0,1000.0,297.6608448515925,37.06496450009933,24000,24000.0,724.0791025161743
25000.0,25.0,1000.0,312.844340961383,51.27585596905383,25000,25000.0,743.5814597606659
26000.0,26.0,1000.0,303.2202251955853,58.48563444400807,26000,26000.0,760.6796767711639
27000.0,27.0,1000.0,209.40492361612857,59.4387119201408,27000,27000.0,777.5037302970886
28000.0,28.0,1000.0,365.9142107059491,60.198341022968094,28000,28000.0,794.1154849529266
29000.0,29.0,1000.0,335.83623361645874,60.38994882877115,29000,29000.0,810.6745328903198
30000.0,30.0,1000.0,313.8440717092425,42.05906582133738,30000,30000.0,834.450621843338
31000.0,31.0,1000.0,314.127816889327,8.934649382947624,31000,31000.0,946.3744330406189
32000.0,32.0,1000.0,317.3276017427348,37.176114501720754,32000,32000.0,973.2734274864197
33000.0,33.0,1000.0,337.1790320477945,37.71112710775783,33000,33000.0,999.7908012866974
34000.0,34.0,1000.0,345.21398918593735,37.816043224878186,34000,34000.0,1026.2346050739288
35000.0,35.0,1000.0,377.8870356686086,51.848044864666385,35000,35000.0,1045.5217366218567
36000.0,36.0,1000.0,402.57175465144127,58.111201676795375,36000,36000.0,1062.730123758316
37000.0,37.0,1000.0,384.6367165634523,61.07426623983402,37000,37000.0,1079.1036331653595
38000.0,38.0,1000.0,349.33527664291324,60.790611711124875,38000,38000.0,1095.553543329239
39000.0,39.0,1000.0,429.9617079390851,61.79341518810658,39000,39000.0,1111.736498594284
40000.0,40.0,1000.0,295.7970715244366,44.03480277864453,40000,40000.0,1134.4458100795746
41000.0,41.0,1000.0,400.3966845617476,9.224089256040557,41000,41000.0,1242.8575990200043
42000.0,42.0,1000.0,371.682856315625,38.50244602245501,42000,42000.0,1268.8299765586853
43000.0,43.0,1000.0,351.17868417061976,38.52524938560631,43000,43000.0,1294.7869801521301
44000.0,44.0,1000.0,384.07983036608005,38.51432742081779,44000,44000.0,1320.751345872879
45000.0,45.0,1000.0,450.6556708306973,50.28118680654469,45000,45000.0,1340.6395010948181
46000.0,46.0,1000.0,430.0863040418596,58.63381181943174,46000,46000.0,1357.694508075714
47000.0,47.0,1000.0,481.9421016154783,62.10649671864844,47000,47000.0,1373.7958846092224
48000.0,48.0,1000.0,439.3038884885945,60.908032574403194,48000,48000.0,1390.214081287384
49000.0,49.0,1000.0,462.7732384966171,62.165583148496516,49000,49000.0,1406.3001537322998
50000.0,50.0,1000.0,435.5952392300351,45.67701293638465,50000,50000.0,1428.1930050849915
51000.0,51.0,1000.0,448.2538746600627,9.222566467324736,51000,51000.0,1536.622694015503
52000.0,52.0,1000.0,479.9534388060526,38.39956535648221,52000,52000.0,1562.6646564006805
53000.0,53.0,1000.0,461.1555384559711,37.988243517967206,53000,53000.0,1588.9885914325714
54000.0,54.0,1000.0,518.7233512223428,38.563426524560164,54000,54000.0,1614.9198985099792
55000.0,55.0,1000.0,488.61868447410995,47.53171387197972,55000,55000.0,1635.9584851264954
56000.0,56.0,1000.0,502.04653632502254,58.68780281879726,56000,56000.0,1652.9978017807007
57000.0,57.0,1000.0,511.9658565058848,61.92379720265865,57000,57000.0,1669.1466836929321
58000.0,58.0,1000.0,497.6804830324072,60.669256345451686,58000,58000.0,1685.6294980049133
59000.0,59.0,1000.0,490.4289728046274,60.65255393383995,59000,59000.0,1702.116851568222
60000.0,60.0,1000.0,549.7994534198631,63.1554928369561,60000,60000.0,1717.9507880210876
61000.0,61.0,1000.0,497.6690334037887,22.73095834508029,61000,61000.0,1761.9436552524567
62000.0,62.0,1000.0,484.65071277030313,66.81571512787082,62000,62000.0,1776.9101955890656
63000.0,63.0,1000.0,504.6829947563395,66.94161492713437,63000,63000.0,1791.84858751297
64000.0,64.0,1000.0,535.6810480433911,67.08890585557484,64000,64000.0,1806.7541830539703
65000.0,65.0,1000.0,489.153998082645,67.97860180938662,65000,65000.0,1821.4646956920624
66000.0,66.0,1000.0,557.0445518282066,66.14759654341563,66000,66000.0,1836.5824038982391
67000.0,67.0,1000.0,529.9611850912635,67.05889385818149,67000,67000.0,1851.4946701526642
68000.0,68.0,1000.0,522.0757415740187,69.49423412806011,68000,68000.0,1865.8843541145325
69000.0,69.0,1000.0,572.2049610095934,69.51684866667348,69000,69000.0,1880.2693574428558
70000.0,70.0,1000.0,558.1724814751892,69.28390985597574,70000,70000.0,1894.7027249336243
71000.0,71.0,1000.0,509.04033201913535,22.73425390993102,71000,71000.0,1938.6892144680023
72000.0,72.0,1000.0,504.8235227101404,67.9016972542667,72000,72000.0,1953.4163882732391
73000.0,73.0,1000.0,601.3253968662157,67.8791259109895,73000,73000.0,1968.148458480835
74000.0,74.0,1000.0,521.4191737976141,69.42930926783973,74000,74000.0,1982.5515983104706
75000.0,75.0,1000.0,509.1022127843818,67.14672830868018,75000,75000.0,1997.4443576335907
76000.0,76.0,1000.0,523.606457874128,68.2973404429066,76000,76000.0,2012.0862176418304
77000.0,77.0,1000.0,535.4662108266119,68.91882110692134,77000,77000.0,2026.5960431098938
78000.0,78.0,1000.0,559.4631049534938,66.91914874865077,78000,78000.0,2041.539449930191
